u_nickname,u_url,m_content,m_content_url,m_content_id,m_images,m_videos,r_comment_num,g_publish_time,r_like_num,r_trans_num,verified,u_id,u_desc,u_fans,u_follow,u_login_time,u_area
Senator John Cornyn,https://twitter.com/JohnCornyn,"""A University of Southampton study suggests the number of coronavirus cases could have been reduced by 95% had China moved to contain the virus three weeks sooner.""",,1247121007749607429,,,231,2020-04-06 19:18:47,509,218,1,13218102,"Mainly news I find interesting, pics, and opinions. Honored to represent the great state of Texas in the US Senate. RTs =/= endorsements",294161,11996,2008-02-08 03:52:55,"Austin, Texas"
Paul Joseph Watson,https://twitter.com/PrisonPlanet,"""A study published in March indicated that if Chinese authorities had acted three weeks earlier than they did, the number of coronavirus cases could have been reduced by 95% and its geographic spread limited.""

Media: Boo hoo, stop being mean to China!",,1240429794057236483,,,224,2020-03-19 08:08:03,11594,3385,1,18643437,"""Watson is a brilliant polemicist."" The Spectator.....¡±Popular cutting edge political commentator.¡± The Jewish Voice. Telegram: https://t.co/LScQNv9624",1108941,770,2009-01-06 04:04:23,London
Brian Stelter,https://twitter.com/brianstelter,"""America has had the best response to coronavirus in the world!""

¡ª@mattgaetz on Fox",,1239359123587846144,,,938,2020-03-16 09:13:35,1455,184,1,14515799,"Anchor of @ReliableSources and @CNN's chief media correspondent. My book HOAX, the untold story of Trump and Fox News, is out Aug 25. Email: bstelter@gmail.com",781737,7075,2008-04-25 02:41:42,New York City
Laurie Garrett,https://twitter.com/Laurie_Garrett,"""As many as 14% of recovered #coronavirus patients in China have tested positive again...betwn 3 to 14% of patients were diagnosed w/ the coronavirus, after already being given the all-clear.""
A 2nd wave coming?
Are #COVID19 tests failing?
Superinfection? https://t.co/Jg3SsL94lc",,1243328270059405312,,,127,2020-03-27 08:05:34,970,829,1,299273962,"Former Sr Fellow @CFR_org. Recipient of Pulitzer Prize, Polk (2Xs) and Peabody Awards. Author: IHeard theSirensScream, TheComingPlague, Ebola & BetrayalofTrust.",237918,1818,2011-05-16 04:00:40,"New York, NY"
Tom Fitton,https://twitter.com/TomFitton,"""BIG GUY"" Biden implicated in RICO-style deal w/Chinese communists! Should @RealDonaldTrump trust FBI to investigate? Fauci emails show he approved WHO praise of China on #coronavirus transparency! Wray FBI Text Message Cover-up! @JudicialWatch Update! https://t.co/ThR2FvV1LH https://t.co/4vgFT6eNug",,1319789796185772033,['http://pbs.twimg.com/media/ElDVv-aWkAAE1d3.jpg'],,435,2020-10-24 07:56:22,3789,1580,1,18266688,"President, Judicial Watch. (These are my personal views only!) NEW BOOK: A Republic Under Assault: https://t.co/S0oL7Z0oI2
https://t.co/g13e9b34ga",1184751,3225,2008-12-20 22:32:44,"Washington, DC"
Srivatsa,https://twitter.com/srivatsayb,"""China jaan gaya ki iski chappan inch ki nahi chaar inch ki chaati hai. Yeh Darpok aadmi hai"": @RahulGandhi said this on Feb 7, 2019

Rahul Gandhi has been prophetic. Every word that he has said has come true. https://t.co/y0K0IM0Bln",,1274354255596417026,['http://pbs.twimg.com/ext_tw_video_thumb/1274354066856882176/pu/img/8WDpeHQjKbEIm0g2.jpg'],https://twitter.com/srivatsayb/status/1274354255596417026/video/1,383,2020-06-20 22:51:45,9622,3757,1,45261768,"Congressman | Politics | Karnataka | _____ | Patriot | Former Karnataka Congress Social Media Head | National Campaign In-charge, Youth Congress",213985,5244,2009-06-07 10:00:29,Bengaluru
Michael Tracey,https://twitter.com/mtracey,"""China lied to the world."" OK, maybe they did. I'm willing to believe that. But I also remember Iraq, Syria, Libya, Vietnam, Venezuela, Russiagate, impeachment, and many other US lies. Trump also lied initially about corona. So I reject the smug, self-assured moral grandstanding",,1246071655325147136,,,187,2020-04-03 21:46:48,897,167,1,24127811,"Roving journalist, friend to all dogs mtracey@protonmail.com",183375,1386,2009-03-13 12:31:49,NYC
Paul Joseph Watson,https://twitter.com/PrisonPlanet,"""Chinese laboratories identified a mystery virus as a highly infectious new pathogen by late December last year, but they were ordered to stop tests, destroy samples and suppress the news.""

U.S. media: Stop being mean to China!

https://t.co/wj0VyMdmZJ",,1240446369824944128,,,119,2020-03-19 09:13:55,5378,2316,1,18643437,"""Watson is a brilliant polemicist."" The Spectator.....¡±Popular cutting edge political commentator.¡± The Jewish Voice. Telegram: https://t.co/LScQNv9624",1108941,770,2009-01-06 04:04:23,London
pierrepoilievre,https://twitter.com/PierrePoilievre,"""Corbella: Poilievre wants us to imagine how much better we'd be had borders been shut earlier""
https://t.co/9t6BAmecbB",,1307737481530441728,,,261,2020-09-21 01:44:46,1087,302,1,242827267,MP for Carleton,123331,1033,2011-01-26 01:55:39,"Ottawa, Ontario"
John Solomon,https://twitter.com/jsolomonReports,"""Does anybody really believe this?"" At press conference, Trump slams China, Iran coronavirus stats https://t.co/GqUSqAuqy8",,1251645019552915462,,,116,2020-04-19 06:53:21,1889,556,0,523248016,"John Solomon is an award-winning investigative journalist and founder of Just the News. He has worked at AP, WaPo, TWT, and The Hill.",784002,371,2012-03-13 21:19:51,
Kyle Griffin,https://twitter.com/kylegriffin1,"""Evidence is growing that a mutated coronavirus strain, the main one circulating in the Houston area, is more contagious than the original virus in China."" https://t.co/Io2yzm4F3C",,1279777051604631553,,,407,2020-07-05 22:00:00,7100,4824,1,32871086,"Senior Producer. MSNBC's @TheLastWord. Opinions mine. Suburban women, will you please like me?",1134645,829,2009-04-18 20:45:48,"Manhattan, NY"
Jordan Schachtel,https://twitter.com/JordanSchachtel,"""Flu-like illness reports exceeded 30k/ week in early 11/19 &amp; were soon running 2x rate of previous years."" 

""By 12/19, there were over 80k US patients seeking treatment for flu-like symptoms ¡ª long before China reported COVID to global health orgs.""
https://t.co/EdQMBjFK55",,1246834996977025032,,,143,2020-04-06 00:20:03,1005,594,1,535643852,"Investigative journo.

Sign up for my publication, The Dossier: 
https://t.co/enqzvbrghU

DMs open

Jds921@protonmail.com",94527,965,2012-03-25 03:38:57,Florida
Essential Fleccas ,https://twitter.com/fleccas,"""He put 200,000 people to death""

Biden supporters claim Trump is directly responsible for every COVID death. Remember when Biden called the travel ban from China ""xenophobic"" and Pelosi told everyone to socialize in Chinatown?

Fleccas Talks does!

FULL: https://t.co/3QZpfv5hZq https://t.co/wOfGDapxre",,1307039129272754182,['http://pbs.twimg.com/ext_tw_video_thumb/1307039008506228738/pu/img/6e3R0FpCi7VJoMbs.jpg'],https://twitter.com/fleccas/status/1307039129272754182/video/1,118,2020-09-19 03:29:46,732,185,1,233000889,FLECCAS TALKS ,210771,3663,2011-01-02 08:36:32,"St. Petersburg, FL"
Aaron Rupar,https://twitter.com/atrupar,"""Here's the bad part: When you do testing to that extent, you're gonna find more people, you're gonna find more cases. So I said to my people, 'slow the testing down please!'"" -- Trump https://t.co/m5MOV9je70",,1274479476437630977,['http://pbs.twimg.com/ext_tw_video_thumb/1274501235920580608/pu/img/NxlgqMgf02HjzgrS.jpg'],https://twitter.com/atrupar/status/1274501301745917952/video/1,1347,2020-06-21 08:36:04,8775,4429,1,288277167,journalist @voxdotcom,651470,999,2011-04-26 23:22:47,
ZUBY:,https://twitter.com/ZubyMusic,"""Hey! The Chinese government is violating Hong Kong!""

NPCs: ",,1285329102497603584,,,257,2020-07-21 05:41:52,12780,2992,1,57441414,Rapper. Author. Podcaster. Coach. Oxford Graduate. ,327260,2658,2009-07-17 04:44:53,"Southampton, England"
Aaron Rupar,https://twitter.com/atrupar,"""I banned people from coming into China"" -- while trying to defend his February comment that the coronavirus would go away on its own, Trump confuses which country he's president of and comes across as a parody of an incompetent leader https://t.co/dn7JzILYSP",,1257801479039188993,['http://pbs.twimg.com/ext_tw_video_thumb/1257805207490232320/pu/img/WuE6uDbAYuoB1sFQ.jpg'],https://twitter.com/atrupar/status/1257805422590902272/video/1,1044,2020-05-06 06:52:36,6658,2153,1,288277167,journalist @voxdotcom,651470,999,2011-04-26 23:22:47,
Yamiche Alcindor,https://twitter.com/Yamiche,"""I think it was time,"" Pres Trump says of why he has backed off using the term ""Chinese Virus.""

He says president of China didn't ask him to stop but adds someone from China's govt may have spoken to U.S. govt.

He adds ""I don't have to say it if they feel so strongly about it.""",,1243297003989348354,,,190,2020-03-27 06:01:19,871,262,1,89887215,@PBS @NewsHour White House correspondent. @NBCNews & @MSNBC contributor. Formerly of @NYTimes & @USATODAY. Email: yamiche@newshour.org,1248639,7301,2009-11-14 14:37:11,"Washington, DC"
Bleacher Report,https://twitter.com/BleacherReport,"""If I show up to an arena and there ain't no fans in there, I ain't playing.""

LeBron on possibly playing NBA games without any fans in attendance due to coronavirus outbreak. https://t.co/Ee5XMQ40X6",,1236193321053081600,['http://pbs.twimg.com/media/ESfXOzAUMAAo_HL.jpg'],https://twitter.com/BleacherReport/status/1236193321053081600/video/1,1000,2020-03-07 15:33:49,71653,10130,1,890891,Get the Free B/R App,9446164,685,2007-03-11 07:52:36,
Shakthi Vadakkepat,https://twitter.com/v_shakthi,"""If the government does not speak with us, we can't stop the strike.""

A Hong Kong medical workers' union continued their strike for a 3rd day. They're demanding all border crossings with mainland China be closed to prevent the spread of #coronavirus  https://t.co/Xcm495OI39",,1225186834906370054,['http://pbs.twimg.com/amplify_video_thumb/1225027466286100483/img/zZSDMMp8DEaGfwRL.jpg'],https://twitter.com/QuickTake/status/1225102811538567169/video/1,119,2020-02-06 06:37:58,1760,1504,1,18936284,"Disability Rights Activist _, Tech Analyst, Tech Blogger. All the media I share is copyrighted by the original owners. RTs are not endorsements.",137779,104755,2009-01-13 20:14:46,"Bengaluru, India"
Bloomberg Quicktake,https://twitter.com/Quicktake,"""If the government does not speak with us, we can't stop the strike.""

A Hong Kong medical workers' union continued their strike for a 3rd day. They're demanding all border crossings with mainland China be closed to prevent the spread of #coronavirus #CoronavirusChina https://t.co/pDtAIhr8GB",,1225102811538567169,['http://pbs.twimg.com/amplify_video_thumb/1225027466286100483/img/zZSDMMp8DEaGfwRL.jpg'],https://twitter.com/QuickTake/status/1225102811538567169/video/1,115,2020-02-06 01:04:06,1552,1371,1,252751061,"Live global news and original shows. 
Streaming free, 24/7.",1253360,1440,2011-02-16 04:50:58,
Aaron Rupar,https://twitter.com/atrupar,"""It was China's fault"" -- Trump to Hannity on the coronavirus https://t.co/wbCrKCHnxy",,1303869974629449728,['http://pbs.twimg.com/ext_tw_video_thumb/1303869724170817536/pu/img/KChkqhQRs2qhDTAc.jpg'],https://twitter.com/atrupar/status/1303869974629449728/video/1,401,2020-09-10 09:36:41,1360,405,1,288277167,journalist @voxdotcom,651470,999,2011-04-26 23:22:47,
Josh Wingrove,https://twitter.com/josh_wingrove,"""It's a fake pandemic, created to destroy the United States of America,"" one guy says.",,1304437104915734530,,,432,2020-09-11 23:10:15,729,313,1,164075542,"White House reporter, Bloomberg News. I cover the coronavirus a lot. Views are my own. e: jwingrove4@bloomberg.net, insta: josh_wingrove",54427,6219,2010-07-08 08:15:20,
Dr. Jack Brown,https://twitter.com/DrGJackBrown,"""My dog ate my homework"" ¡ª Secretary of State Mike Pompeo says initial lack of information from China about coronavirus ""put us behind the curve"" https://t.co/5CdmzL2q7U",,1236151834449833984,,,122,2020-03-07 12:48:58,659,201,0,212445456,"Body Language & Emotional Intelligence Expert, Speaker, Physician, Lecturer, RT¡Ùendorsement, No Lists, #LGBTQAally, #BLM, #ClimateCrisis _ https://t.co/Y5YS950pNY",111976,16001,2010-11-06 10:51:17,United States
AJ+,https://twitter.com/ajplus,"""No. Actually man, it's called the COVID-19.""

These celebrities want people to shut down anti-Asian racism. They are sharing their fears of going to grocery stores and walking down the street. https://t.co/KJ4K6jNLqS",,1255257078286950410,['http://pbs.twimg.com/amplify_video_thumb/1255255219665088521/img/nQcuQZ84EMNxfXe8.jpg'],https://twitter.com/ajplus/status/1255257078286950410/video/1,893,2020-04-29 06:06:23,4220,1869,1,110396781,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.",1176804,356,2010-02-01 19:53:42,
Bill Kristol,https://twitter.com/BillKristol,"""President Trump has responded to the coronavirus outbreak by (among other things) promising it would go away by itself, playing golf, blaming China, blaming the media, blaming Democrats, lying about it...and saying he¡¯s responding to it perfectly.""
https://t.co/P8YIokVtfn",,1241357528157556737,,,1484,2020-03-21 21:34:32,29977,10674,1,2800581040,"Director, https://t.co/PWRcR3IxJj. Editor at large, https://t.co/2a4u3o8vGm. Host, https://t.co/2cRflRmz1y. Fellow, @HarvardIOP.",882208,5995,2014-10-03 02:47:57,
Kyle Griffin,https://twitter.com/kylegriffin1,"""Senator Tom Cotton repeats fringe theory of Coronavirus origins: Scientists have dismissed suggestions that the Chinese government was behind the outbreak, but it's the kind of tale that gains traction among those who see China as a threat."" https://t.co/N8btxUjn2u",,1229464341990313986,,,123,2020-02-18 01:55:16,607,284,1,32871086,"Senior Producer. MSNBC's @TheLastWord. Opinions mine. Suburban women, will you please like me?",1134645,829,2009-04-18 20:45:48,"Manhattan, NY"
Al Jazeera English,https://twitter.com/AJEnglish,"""Some westerners are calling the #Coronavirus the China Virus, but I don't remember people calling Zika the Brazil Virus, or Ebola the Congo Virus."" https://t.co/zUQkLJkPpU",,1226160270759878658,,,123,2020-02-08 23:06:04,785,282,1,4970411,Hear the human story and join the discussion. For more news follow @AJENews.,6629099,223,2007-04-17 16:23:08,"Doha, Qatar"
Paul Joseph Watson,https://twitter.com/PrisonPlanet,"""The coronavirus is a Chinese virus, no matter what they're telling you, it originated in China &amp; was able to spread to the rest of the world because the Chinese government hid the truth of what was happening early in the outbreak...they lied about it.""

https://t.co/SlQ9i6U2It",,1239729631843975168,,,1102,2020-03-17 09:45:51,21341,7947,1,18643437,"""Watson is a brilliant polemicist."" The Spectator.....¡±Popular cutting edge political commentator.¡± The Jewish Voice. Telegram: https://t.co/LScQNv9624",1108941,770,2009-01-06 04:04:23,London
Aaron Rupar,https://twitter.com/atrupar,"""They call it 'corona.' It sounds like a beautiful seaside island in Italy. No, it's not 'corona.' It's called, 'the China plague.'"" -- Trump https://t.co/uNzc6YIcoP",,1320050594774716417,['http://pbs.twimg.com/ext_tw_video_thumb/1320056862142828546/pu/img/dAtq_BRzplkKwmnp.jpg'],https://twitter.com/atrupar/status/1320056892132044802/video/1,252,2020-10-25 01:37:43,1821,366,1,288277167,journalist @voxdotcom,651470,999,2011-04-26 23:22:47,
barkha dutt,https://twitter.com/BDUTT,"""They called me China Ka Maal &amp; Half-Corona""- disgusting racism that Jwala Gutta, @GuttaJwala has been subjected to because she has a Chinese Mother. ""I won for India. Ive sung the Anthem more times than any troll""- Watch this excerpt, full conversation at https://t.co/eRvfX0SJVJ https://t.co/0nqMYepkKc",,1249349545982492678,['http://pbs.twimg.com/media/EVaUxFjU0AYR24_.jpg'],https://twitter.com/BDUTT/status/1249349545982492678/video/1,617,2020-04-12 22:51:58,6582,1796,1,19929890,"Barkha Rani Jamke Barasti Hai. Emmy Nominated Reporter. Columnist @WashingtonPost. Editor, Mojo. Argumentative! Yaaron Ka Yaar",7237434,2910,2009-02-03 04:36:36,India
Bloomberg Quicktake,https://twitter.com/Quicktake,"""They have different shelves, different freezers for the imported meats, the imported frozen foods.""

A disputed #coronavirus theory is causing shoppers to shun imported food in China, @ek_obrien tells @rumireports.

More: https://t.co/LElNPMC74y https://t.co/aR3Gh9elc0",,1354663389692354560,['http://pbs.twimg.com/amplify_video_thumb/1354663115846262786/img/3zv5uMwJfVL7BDl8.jpg'],https://twitter.com/Quicktake/status/1354663389692354560/video/1,324,2021-01-28 13:31:35,699,385,1,252751061,"Live global news and original shows. 
Streaming free, 24/7.",1253360,1440,2011-02-16 04:50:58,
Hua Chunying »ª´ºÓ¨,https://twitter.com/SpokespersonCHN,"""Timeline of China releasing information on COVID-19 and advancing international cooperation"" released.  
FACTS speak louder than words. 
https://t.co/kab2RsNOg8",,1247391118553047040,,,1133,2020-04-07 13:09:52,4181,992,1,1.1837E+18,"Foreign Ministry Spokesperson
Director General, Information Department, MFA PRC
Get to know us more @MFA_China
YouTube https://t.co/owWGn7pWzE
Facebook https://t.co/Mkd9zD52cs",778162,153,2019-10-14 18:56:54,ÖÐ¹ú£¬±±¾© Beijing PRC
World Health Organization (WHO),https://twitter.com/WHO,"""Tomorrow marks six months since WHO received the first reports of a cluster of cases of pneumonia of unknown cause in #China.

The six-month anniversary of the outbreak coincides with reaching 10 million #COVID19 cases and 500 thousand deaths""-@DrTedros",,1277622924212465664,,,238,2020-06-29 23:21:27,3947,2315,1,14499829,"We are the #UnitedNations¡¯ health agency - #HealthForAll.
__ Always check our latest tweets on #COVID19 for updated advice/information.",9014156,1732,2008-04-24 03:56:27,"Geneva, Switzerland"
Jennifer Zeng Ôø_,https://twitter.com/jenniferatntd,"""Twitter adds former Google AI chief Fei-Fei Li as board member as it grapples with #coronavirus #misinformation.""
This is a bit worrying. She used a famous #CCP slogan ""stay true to our founding mission"" &amp; claimed that ""#China has woken up"" when Google went back to China in 2017 https://t.co/FkqZUz3MN1",,1260227268506460161,['http://pbs.twimg.com/media/EX04GW3WkAIwjMf.jpg'],,132,2020-05-12 23:16:09,1089,824,0,2313027666,"Video creator at https://t.co/tbjS3k1tjs & https://t.co/JWsU1Yqsnq, Writer at https://t.co/XRo5fzvFMx ×ÔÃ½_ÈË£¬_Õ¾¼°ÓÍ¹ÜÆµµÀ_Ö·ÈçÇ°¡£Backup account _ÓÃ__£º@JenniferZeng15",155167,450,2014-01-27 12:58:03,"New York, USA ÃÀ¹úÅ¦Ô¼"
AJ+,https://twitter.com/ajplus,"""We are in uncharted territory,"" says the WHO of the coronavirus, as cases drop in China but rise elsewhere.

__ At least 90K infected and 3,100 killed worldwide
__ At least 100+ cases and 6 deaths in U.S.
__ South Korea, Italy, Iran, Japan outbreaks biggest concern, says WHO https://t.co/RvFcz4j1il",,1234832685295636481,['http://pbs.twimg.com/media/ESMBhGXWAAYN1dl.jpg'],,202,2020-03-03 21:27:08,3022,1496,1,110396781,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.",1176804,356,2010-02-01 19:53:42,
Lee Fang,https://twitter.com/lhfang,"""We have it totally under control ... It¡¯s one person coming in from China. We have it under control. It¡¯s going to be just fine."" -- President Donald Trump on hearing about coronavirus spreading in China and if it poses any pandemic threat to the U.S. https://t.co/iVzdNE6X5r",,1238983235234746368,['http://pbs.twimg.com/ext_tw_video_thumb/1238983100186558464/pu/img/eylGf0kqTjSyuK-5.jpg'],https://twitter.com/lhfang/status/1238983235234746368/video/1,219,2020-03-15 08:19:57,3450,1843,1,7900962,"Investigative Journalist. @theintercept email lee.fang@theintercept.com 

Views here are my own. Send tips to me directly by email or Signal at (202) 394-9170",176970,2334,2007-08-02 14:21:38,San Francisco
Mornings with Maria,https://twitter.com/MorningsMaria,"""We still have not heard @POTUS say a PEEP about China's role in the coronavirus."" -@MariaBartiromo #MWM",,1357292964008099841,,,111,2021-02-04 19:40:34,801,194,1,2330590446,"Join @mariabartiromo every weekday from 6-9 am only on @FoxBusiness. 
Make sure to follow our show Instagram: @MorningsMaria",157202,421,2014-02-07 01:15:29,"New York, NY"
Daniel Dale,https://twitter.com/ddale8,"""We want to get football in colleges. These are young, strong people. They won't have a big problem with the China virus,"" Trump says. (Young people can and do experience serious problems from the virus, even some fit people.) ""Most of them will never get it, statistically.""",,1293304300521893888,,,148,2020-08-12 05:52:28,719,164,1,225265639,"Reporter for CNN, fact-checking the president and other politicians.",1239516,1446,2010-12-11 12:18:41,Washington DC
AJ+,https://twitter.com/ajplus,"""We're not even counting the dead anymore.""

Listen to this nurse's emotional plea about working during the #coronavirus outbreak in Italy. The country's death toll surpassed China this week at over 4,000 deaths. https://t.co/knoC7gT0Is",,1241109054879150082,['http://pbs.twimg.com/media/ETlJtrjWoAMNXGz.jpg'],https://twitter.com/ajplus/status/1241109054879150082/video/1,104,2020-03-21 05:07:12,3909,3467,1,110396781,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.",1176804,356,2010-02-01 19:53:42,
GOP,https://twitter.com/GOP,"""We're really given tremendous marks for having made the decision¡ªa decision I made¡ªto close down the border so that people from China, where we take in thousands &amp; thousands of people a day, they stopped coming in very early.""¡ª@realDonaldTrump on his handling of coronavirus. https://t.co/f9vJlLXlmn",,1235720416502505472,['http://pbs.twimg.com/ext_tw_video_thumb/1235720361087557633/pu/img/0myS1-mCHYdROxge.jpg'],https://twitter.com/GOP/status/1235720416502505472/video/1,236,2020-03-06 08:14:40,1389,422,1,11134252,Text FREEDOM to 80810 to receive exclusive updates from the Republican National Committee!,2723432,1618,2007-12-14 01:15:41,
Natasha Bertrand,https://twitter.com/NatashaBertrand,"""When asked whether the spread of the coronavirus is Trump¡¯s fault, candidates are advised to respond by pivoting to China.

'Don¡¯t defend Trump, other than the China Travel Ban ¡ª attack China,' the memo states."" 

via @politicoalex https://t.co/0U49sFnKfD",,1254768988698972160,,,235,2020-04-27 21:46:54,1283,919,1,372536101,"White House correspondent @politico, national security & foreign policy. @MSNBC contributor. #ForbesUnder30. Tips: nbertrand@politico.com Signal: 202-751-9269.",736610,5677,2011-09-13 07:21:14,"Washington, DC"
Meena Harris,https://twitter.com/meenaharris,"""Yes, I¡¯m Asian. And yes, I have coronavirus. But I did not get it from China. I got it in America. In New York City. And despite what certain political leaders want to call it, I don¡¯t consider the place where it's from as important as the people who are sick and dying."" https://t.co/r2FfVjPLzF",,1240730459853565952,['http://pbs.twimg.com/ext_tw_video_thumb/1240729790753042432/pu/img/OTPRDm2AZj-u6cu6.jpg'],https://twitter.com/meenaharris/status/1240730459853565952/video/1,1545,2020-03-20 04:02:47,188327,41089,1,574795929,"she/her _ BLM _ proud Oakland native, mom, lawyer, #1 New York Times bestselling author of AMBITIOUS GIRL _ #supportfarmersprotest",684969,1713,2012-05-09 03:06:11,"San Francisco, CA"
Avi Yemini ,https://twitter.com/OzraeliAvi,"#BREAKING Chinese doctors have found a cure for Coronavirus.

It can also be used as a preventative to avoid unnecessary positive test results.

Thank you, China. https://t.co/j784PQMK2C",,1243745820765126656,['http://pbs.twimg.com/ext_tw_video_thumb/1243745760987865093/pu/img/5bvmuyMWw1bTzepa.jpg'],https://twitter.com/OzraeliAvi/status/1243745820765126656/video/1,454,2020-03-28 11:44:46,2752,1747,0,97054224,Chief Oz correspondent for @RebelNewsOnline. In charge of telling the other side of the story down under.,121585,890,2009-12-16 04:23:03,"Melbourne, Victoria"
Jennifer Franco,https://twitter.com/jennfranconews,"#BREAKING: A United States citizen has died from the new coronavirus in Wuhan, China, in what appeared to be the first death of an American from the outbreak. (1/2)",,1226006284966645760,,,510,2020-02-08 12:54:11,11082,5408,1,749686190,Anchor / Journalist / Politics,91644,2930,2012-08-11 00:56:27,"California, USA"
Ezra Cheung,https://twitter.com/ezracheungtoto,"#BREAKING: China to send medical personnel from the mainland to Hong Kong for a large-scale nucleic acid test, as a way to curb the city's continuous #coronavirus outbreak, signalling a citywide collection of DNA samples from Hong Kong population, says Xinhua News Agency. https://t.co/fddzXndQAY",,1289171320052146176,['http://pbs.twimg.com/media/EeQNIX8UYAERJVK.png'],,244,2020-07-31 20:09:29,2410,2622,1,70096587,"Hong Kong-based journalist. Words seen in @nytimes, @CNN, @AFP and more. Absolute foodie. Tea-sipper. Achievement: went to Bruce Lee¡¯s primary school.",27535,781,2009-08-30 18:36:43,Hong Kong
Avi Yemini ,https://twitter.com/OzraeliAvi,"#BREAKING: China's ambassador warns of potentially severe ¡°economic consequences¡± if Australia doesn't back down from launching a coronavirus inquiry.

Bring. It. On.

You don't scare us. https://t.co/u29NJjiTNe",,1254636193309814785,,,866,2020-04-27 12:59:13,7204,3779,0,97054224,Chief Oz correspondent for @RebelNewsOnline. In charge of telling the other side of the story down under.,121585,890,2009-12-16 04:23:03,"Melbourne, Victoria"
Aditya Raj Kaul,https://twitter.com/AdityaRajKaul,"#BREAKING: India is Co-Sponsor with 61 countries of a resolution, which will be adopted at WHO's World Health Assembly, calling for ""impartial, independent &amp; comprehensive"" evaluation (probe) of #COVID19 outbreak to find origins of virus with help of experts. (China fuming?) https://t.co/El70ycBASm",,1262078265885446145,"['http://pbs.twimg.com/media/EYPNMyGX0AAKiJw.jpg', 'http://pbs.twimg.com/media/EYPNMyQXsAEK0cQ.jpg', 'http://pbs.twimg.com/media/EYPNMyBXsAAK8De.jpg', 'http://pbs.twimg.com/media/EYPNMyeX0AAA9n4.jpg']",,140,2020-05-18 01:51:21,4951,1681,1,44425241,"Contributing Editor, @CNNNews18. Track National Security, Diplomacy and Conflict. Alumni: @acypl @iimb_official Formerly: @timesnow",281616,8020,2009-06-04 02:49:42,"New Delhi, India"
CP24,https://twitter.com/CP24,"#BREAKING: Ontario's Chief Medical Officer of Health has confirmed a new presumptive case of the coronavirus. An adult woman who arrived to Canada from China on February 21 went to hospital with an ""intermittent cough.""",,1231713965216010240,,,124,2020-02-24 06:54:28,480,224,1,19636948,Official account of CP24 - Toronto and the GTA's #1 source for breaking news. Our Twitter account is LIVE 24 hours a day.,1985741,373,2009-01-28 12:56:13,Toronto
Ezra Cheung,https://twitter.com/ezracheungtoto,"#BREAKING: South China University of Technology biologist Xiao Botao exposed that the #COVID19 might have originated from an animal research lab 280m away from the epicentre of the outbreak. The scientists were reportedly bitten by bats used for a test on louse. H/T: 
@mantaichow https://t.co/uZEXHmvbTU",,1228637753941753857,"['http://pbs.twimg.com/media/EQz_hLQUEAEZ-R6.jpg', 'http://pbs.twimg.com/media/EQz_hNkU0AAUWh2.jpg', 'http://pbs.twimg.com/media/EQz_hPzU4AAk1Sl.jpg', 'http://pbs.twimg.com/media/EQz_hSHU4AAO7te.jpg']",,179,2020-02-15 19:10:42,2072,1479,1,70096587,"Hong Kong-based journalist. Words seen in @nytimes, @CNN, @AFP and more. Absolute foodie. Tea-sipper. Achievement: went to Bruce Lee¡¯s primary school.",27535,781,2009-08-30 18:36:43,Hong Kong
Avi Yemini ,https://twitter.com/OzraeliAvi,"#BREAKING: The CCP give Australia ten days to cancel the independent coronavirus inquiry.

If not, China will impose an 80% tax on all barley from Australia.

YOU DON¡¯T SCARE US.",,1259397114041233412,,,901,2020-05-10 16:17:25,6654,2780,0,97054224,Chief Oz correspondent for @RebelNewsOnline. In charge of telling the other side of the story down under.,121585,890,2009-12-16 04:23:03,"Melbourne, Victoria"
Aditya Raj Kaul,https://twitter.com/AdityaRajKaul,"#BREAKING: US Secretary of State Mike Pompeo says, there's ""enormous evidence"" that #CoronaVirus originated in Wuhan lab of China. United States will hold China accountable. Hits out at Beijing for ¡®Classic Communist Disinformation Campaign¡¯. https://t.co/16NqAevV1q",,1257009677507821568,['http://pbs.twimg.com/amplify_video_thumb/1256942695764955138/img/UFoYgBjWDZsNy3RP.jpg'],https://twitter.com/ABC/status/1256945308417884160/video/1,181,2020-05-04 02:10:35,4723,1831,1,44425241,"Contributing Editor, @CNNNews18. Track National Security, Diplomacy and Conflict. Alumni: @acypl @iimb_official Formerly: @timesnow",281616,8020,2009-06-04 02:49:42,"New Delhi, India"
Brad Parscale,https://twitter.com/parscale,"#BeijingBiden soft on China:

",,1260686598515064832,['http://pbs.twimg.com/media/EX7bxEjXsAUQqgB.jpg'],,395,2020-05-14 05:41:22,3150,1360,1,17685258,"Husband, father, entrepreneur, and an architect of MAGA. Former Trump Campaign Manager (897 days). Advertising legend.",725472,470,2008-11-28 02:47:32,Florida
